Status,Listing Office 1 - Office Code,Price,Days On Market,Approx Sq Ft,Status Date
SOLD,1598,"$770,000 ",6,790,5/1/17
SOLD,1186,"$930,000 ",7,1100,5/1/17
SOLD,1603,"$636,000 ",7,900,5/1/17
SOLD,1623,"$800,000 ",5,1145,5/2/17
SOLD,1603,"$701,000 ",53,1000,5/2/17
SOLD,1598,"$372,000 ",0,550,5/2/17
SOLD,1635,"$837,500 ",14,,5/3/17
SOLD,1623,"$708,000 ",6,1016,5/3/17
SOLD,1603,"$525,000 ",62,613,5/3/17
SOLD,1623,"$1,160,000 ",15,1251,5/4/17
SOLD,1294,"$855,000 ",12,894,5/4/17
SOLD,1623,"$570,000 ",35,897,5/5/17
SOLD,1623,"$649,000 ",5,789,5/5/17
SOLD,1186,"$650,000 ",49,811,5/5/17
SOLD,5845,"$1,145,000 ",11,1208,5/7/17
SOLD,64,"$431,417 ",10,595,5/7/17
SOLD,150,"$786,000 ",8,1024,5/7/17
SOLD,1186,"$699,900 ",27,1041,5/8/17
SOLD,298,"$575,000 ",10,791,5/9/17
SOLD,5845,"$2,022,000 ",17,1900,5/9/17
SOLD,1623,"$1,082,000 ",25,1732,5/10/17
SOLD,1598,"$1,250,000 ",56,1342,5/10/17
SOLD,151,"$591,000 ",6,735,5/11/17
SOLD,5845,"$2,610,000 ",13,3201,5/12/17
SOLD,64,"$653,000 ",11,950,5/12/17
SOLD,1641,"$515,000 ",44,811,5/12/17
SOLD,1186,"$793,000 ",19,1300,5/12/17
SOLD,1603,"$927,000 ",14,919,5/12/17
SOLD,156,"$769,000 ",8,1365,5/12/17
SOLD,1650,"$650,000 ",4,860,5/12/17
SOLD,156,"$843,000 ",7,1084,5/12/17
SOLD,5900,"$900,000 ",14,1237,5/13/17
SOLD,1568,"$960,000 ",9,1406,5/15/17
SOLD,5970,"$664,919 ",14,,5/16/17
SOLD,1605,"$400,000 ",4,,5/17/17
SOLD,6036,"$1,125,000 ",17,1848,5/17/17
SOLD,1598,"$825,000 ",4,1673,5/17/17
SOLD,1549,"$381,000 ",14,550,5/17/17
SOLD,1186,"$1,100,000 ",14,1771,5/17/17
SOLD,1623,"$658,000 ",8,920,5/17/17
SOLD,1598,"$1,050,000 ",11,1410,5/17/17
SOLD,64,"$1,174,140 ",20,1577,5/17/17
SOLD,224,"$825,000 ",5,1161,5/18/17
SOLD,5089,"$740,000 ",7,1079,5/18/17
SOLD,1641,"$870,000 ",13,1215,5/22/17
SOLD,1603,"$475,000 ",16,648,5/22/17
SOLD,1598,"$1,165,000 ",4,1520,5/22/17
SOLD,1598,"$760,000 ",44,861,5/22/17
SOLD,1294,"$425,000 ",5,663,5/23/17
SOLD,1603,"$500,000 ",69,702,5/23/17
SOLD,298,"$543,500 ",79,740,5/23/17
SOLD,1641,"$1,200,000 ",22,1879,5/23/17
SOLD,5464,"$815,000 ",3,1097,5/23/17
SOLD,1698,"$350,000 ",9,,5/23/17
SOLD,1481,"$415,000 ",6,684,5/24/17
SOLD,1623,"$999,000 ",5,1545,5/24/17
SOLD,1186,"$383,500 ",5,520,5/25/17
SOLD,5845,"$2,410,000 ",26,2828,5/25/17
SOLD,5845,"$720,000 ",6,937,5/26/17
SOLD,298,"$665,000 ",13,919,5/26/17
SOLD,1623,"$740,000 ",7,1220,5/27/17
SOLD,1186,"$850,000 ",15,1258,5/30/17
SOLD,64,"$1,050,000 ",9,,5/30/17
SOLD,6105,"$380,000 ",6,520,5/31/17
SOLD,151,"$320,000 ",66,420,5/31/17
SOLD,1641,"$920,000 ",27,1245,5/31/17
SOLD,151,"$830,000 ",7,1201,5/31/17
SOLD,298,"$1,084,000 ",11,1200,5/31/17
SOLD,64,"$825,000 ",7,1320,5/31/17
SOLD,1641,"$624,000 ",18,850,5/31/17
SOLD,224,"$1,106,000 ",6,1400,5/31/17
SOLD,1603,"$829,000 ",70,1358,5/31/17
SOLD,1653,"$650,800 ",6,901,6/1/17
